Brand,Rating,N_Reviews,Price,Screen_size,warranty,pixels,os,discount
iFFALCON,4.3,"3,421 ","₹49,999",65,1,3840 x 2160,Android,53
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
SAMSUNG,4.6,4 ,"₹43,990",43,1,3840 x 2160,Tizen,30
LG,4.9,0 ,"₹88,999",65,1,3840 x 2160,WebOS,61
Dyanora,4.1,517 ,"₹19,999",43,1,3840 x 2160,WebOS,47
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
Mi,4.4,676 ,"₹59,999",55,1,3840 x 2160,Android,
Sansui,3.8,1 ,"₹52,990",65,1,3840 x 2160,,24
PHILIPS,4,18 ,"₹25,950",43,2,1920 x 1080,Linux,27
OnePlus,4.6,0 ,"₹34,444",50,1,3840 x 2160,Android,25
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
iFFALCON,4.3,438 ,"₹24,999",49,1,1920 x 1080,Android,39
SAMSUNG,,,"₹45,900",43,1,1920 x 1080,Tizen,
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
SONY,4.7,57 ,"₹84,990",65,1,3840 x 2160,Google,39
Coocaa,4.3,643 ,"₹24,999",50,1,3840 x 2160,Android,61
TCL,,,"₹39,950",55,3,3840 x 2161,Google,51
Blaupunkt,4.6,650 ,"₹39,999",55,1,3840 x 2160,Google,33
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
Haier,,,"₹24,890",43,1,3840 x 2160,Google,19
SONY,4.9,2 ,"₹77,890",50,1,3840 x 2160,Google,32
Dyanora,4.1,517 ,"₹19,999",43,1,3840 x 2160,WebOS,47
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
Haier,4.1,1 ,"₹39,999",50,1,3840 x 2160,Google,34
SONY,4.8,2 ,"₹1,79,900",65,1,3840 x 2160,Google,
iFFALCON,4.2,"2,206 ","₹49,999",65,1,3840 x 2160,Google,58
Hisense,4.3,381 ,"₹59,999",65,2,3840 x 2160,Google,40
Cellecor,,,"₹21,499",43,2,1920 x 1080,Android,40
Cellecor,,,"₹16,999",40,2,1920 x 1080,Android,34
Coocaa,4.3,643 ,"₹20,999",43,1,3840 x 2160,Android,61
Panasonic,4.3,"1,182 ","₹31,990",43,1,3840 x 2160,Google,25
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
